epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,53291.9,0.66429,0.4089,0.96137,0.98243,0.97457,0.99082,0.73116,1.02018,0.40229,1.19029,0.000337652,0.000337652,0.000337652
56,54205.5,0.65105,0.40537,0.9559,0.97656,0.97119,0.9883,0.7314,1.03204,0.41663,1.20762,0.000317442,0.000317442,0.000317442
57,55087.9,0.64821,0.40697,0.95694,0.97819,0.98725,0.99169,0.73284,1.02992,0.39389,1.18122,0.000297232,0.000297232,0.000297232
58,55909.1,0.64241,0.40053,0.95758,0.96963,0.97262,0.97654,0.72994,1.03526,0.4144,1.20358,0.000277022,0.000277022,0.000277022
59,56731.7,0.63211,0.39255,0.9494,0.97837,0.97912,0.9883,0.73015,1.05691,0.39542,1.21605,0.000256812,0.000256812,0.000256812
60,57551,0.63475,0.39649,0.95091,0.98405,0.9816,0.99084,0.72777,1.05566,0.40729,1.21393,0.000236602,0.000236602,0.000236602
61,58362.5,0.55598,0.30129,0.90434,0.98662,0.98362,0.98928,0.72713,1.05036,0.39688,1.2282,0.000216391,0.000216391,0.000216391
62,59322.9,0.53857,0.29469,0.90216,0.97508,0.97655,0.9884,0.73952,1.04382,0.41118,1.23204,0.000196181,0.000196181,0.000196181
63,60351.8,0.52871,0.2883,0.89579,0.97763,0.98023,0.99184,0.74355,1.03452,0.39728,1.21723,0.000175971,0.000175971,0.000175971
64,61320.1,0.52142,0.28248,0.89413,0.97037,0.96845,0.98738,0.73891,1.04921,0.41339,1.22504,0.000155761,0.000155761,0.000155761
65,62111.7,0.51394,0.27985,0.88534,0.98181,0.97115,0.99104,0.74988,1.02802,0.40269,1.21788,0.000135551,0.000135551,0.000135551
66,62907.4,0.50668,0.27971,0.892,0.97578,0.96823,0.98662,0.74628,1.03556,0.40824,1.21469,0.000115341,0.000115341,0.000115341
67,63966.1,0.49763,0.27419,0.88328,0.98055,0.97942,0.99177,0.74346,1.04569,0.40159,1.22651,9.51306e-05,9.51306e-05,9.51306e-05
68,64969.8,0.48729,0.27107,0.87879,0.96697,0.97804,0.9911,0.74398,1.04015,0.41365,1.23041,7.49204e-05,7.49204e-05,7.49204e-05
69,65745.9,0.48737,0.26864,0.87825,0.96676,0.97917,0.99134,0.74854,1.04213,0.40935,1.23435,5.47103e-05,5.47103e-05,5.47103e-05
70,66524.9,0.48242,0.26735,0.87643,0.96676,0.97917,0.99128,0.74424,1.03772,0.40982,1.23957,3.45001e-05,3.45001e-05,3.45001e-05
